type,file,line,key,detail
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",12,"id","ID ""bankroll_and_variance_management:drill:12"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",12,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",13,"id","ID ""bankroll_and_variance_management:drill:13"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",13,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",14,"id","ID ""bankroll_and_variance_management:drill:14"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",14,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",15,"id","ID ""bankroll_and_variance_management:drill:15"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",15,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",16,"id","ID ""bankroll_and_variance_management:drill:16"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/bankroll_and_variance_management/v1/drills.jsonl",16,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/demos.jsonl",1,"id","ID ""cash_3bet_oop_playbook:demo:01"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/demos.jsonl",1,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/demos.jsonl",2,"id","ID ""cash_3bet_oop_playbook:demo:02"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/demos.jsonl",2,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/demos.jsonl",3,"id","ID ""cash_3bet_oop_playbook:demo:03"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/demos.jsonl",3,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",1,"id","ID ""cash_3bet_oop_playbook:drill:01"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",1,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",2,"id","ID ""cash_3bet_oop_playbook:drill:02"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",2,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",3,"id","ID ""cash_3bet_oop_playbook:drill:03"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",3,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",4,"id","ID ""cash_3bet_oop_playbook:drill:04"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",4,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",5,"id","ID ""cash_3bet_oop_playbook:drill:05"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",5,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",6,"id","ID ""cash_3bet_oop_playbook:drill:06"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",6,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",7,"id","ID ""cash_3bet_oop_playbook:drill:07"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",7,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",8,"id","ID ""cash_3bet_oop_playbook:drill:08"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",8,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",9,"id","ID ""cash_3bet_oop_playbook:drill:09"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",9,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",10,"id","ID ""cash_3bet_oop_playbook:drill:10"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",10,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",11,"id","ID ""cash_3bet_oop_playbook:drill:11"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",11,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",12,"id","ID ""cash_3bet_oop_playbook:drill:12"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",12,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",13,"id","ID ""cash_3bet_oop_playbook:drill:13"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",13,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",14,"id","ID ""cash_3bet_oop_playbook:drill:14"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",14,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",15,"id","ID ""cash_3bet_oop_playbook:drill:15"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",15,"title","Missing required key: title"
"invalid_id_format","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",16,"id","ID ""cash_3bet_oop_playbook:drill:16"" does not match ^[a-z0-9_]+$"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_3bet_oop_playbook/v1/drills.jsonl",16,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/demos.jsonl",1,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/demos.jsonl",2,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/demos.jsonl",3,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",1,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",2,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",3,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",4,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",5,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",6,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",7,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",8,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",9,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",10,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",11,"title","Missing required key: title"
"missing_key","/Users/elmarsalimzade/poker_ai_analyzer/Poker_Analyzer/content/cash_blind_defense/v1/drills.jsonl",12,"title","Missing required key: title"
